task_clock,context_switches,cpu_migrations,page_faults,time_elapsed,size,threads
0.882543,0.0,0.0,55,0.001167483,16,1
2.329011,0.0,0.0,63,0.002549516,32,1
7.669842,0.0,0.0,93,0.007898631,64,1
28.730216,0.0,0.0,213,0.028967431,128,1
113.322194,0.0,0.0,694,0.113569981,256,1
455.750033,1.0,0.0,2613,0.456027595,512,1
1824.512449,6.0,1.0,10294,1.829818105,1024,1
7297.042465,26.0,0.0,41014,7.323573686,2048,1
29062.17198,103.0,1.0,163894,29.164586525,4096,1
116242.591704,464.0,8.0,655414,116.703036531,8192,1
0.466998,0.0,0.0,55,0.000709323,16,1
0.709889,0.0,0.0,63,0.000934441,32,1
1.742925,0.0,0.0,93,0.001951703,64,1
6.025929,0.0,0.0,212,0.006265833,128,1
20.907663,0.0,0.0,694,0.021137805,256,1
80.503355,0.0,0.0,2614,0.08077485,512,1
326.530092,2.0,0.0,10294,0.330518664,1024,1
1286.912864,22.0,1.0,41014,1.31100532,2048,1
5149.955575,94.0,1.0,163894,5.256703066,4096,1
20359.54648,295.0,2.0,655414,20.832221839,8192,1
0.877011,0.0,0.0,55,0.001157381,16,1
2.394132,0.0,0.0,63,0.002613286,32,1
8.261397,0.0,0.0,92,0.008481795,64,1
30.888166,0.0,0.0,213,0.031128853,128,1
119.378374,0.0,0.0,694,0.119654003,256,1
475.882018,1.0,0.0,2613,0.476163798,512,1
1935.485829,5.0,0.0,10294,1.940482366,1024,1
7706.865034,25.0,0.0,41013,7.734947386,2048,1
30737.159744,78.0,0.0,163894,30.843593532,4096,1
122816.266122,330.0,1.0,655414,123.279995438,8192,1
0.95307,0.0,0.0,55,0.001171602,16,1
2.49824,0.0,0.0,63,0.002722826,32,1
9.10203,0.0,0.0,93,0.009322937,64,1
34.280426,0.0,0.0,213,0.034515686,128,1
135.737834,0.0,0.0,694,0.135992965,256,1
547.005231,1.0,0.0,2614,0.547290432,512,1
2188.488138,6.0,1.0,10294,2.193442707,1024,1
9408.711903,26.0,0.0,41014,9.432515575,2048,1
34930.173086,104.0,0.0,163894,35.029675196,4096,1
139610.405161,502.0,9.0,655414,140.054419252,8192,1
0.735391,0.0,0.0,49,0.001018902,16,1
2.174204,0.0,0.0,49,0.002488584,32,1
7.432031,0.0,0.0,49,0.007704034,64,1
27.76427,0.0,0.0,49,0.028070619,128,1
109.184632,0.0,0.0,49,0.109525448,256,1
435.545578,1.0,0.0,49,0.435897207,512,1
1744.89666,2.0,0.0,49,1.74521963,1024,1
6964.920699,6.0,0.0,49,6.965342724,2048,1
27777.518821,14.0,0.0,48,27.778155381,4096,1
111115.382015,42.0,0.0,49,111.117012204,8192,1
0.376809,0.0,0.0,49,0.00066228,16,1
0.5528,0.0,0.0,49,0.000852488,32,1
1.356273,0.0,0.0,49,0.001658822,64,1
4.515517,0.0,0.0,49,0.004821176,128,1
16.129883,0.0,0.0,49,0.016423399,256,1
62.555251,0.0,0.0,49,0.062870798,512,1
247.865261,0.0,0.0,49,0.248202005,1024,1
993.182357,2.0,0.0,49,0.993570375,2048,1
3943.216622,4.0,0.0,48,3.943630993,4096,1
15734.376657,8.0,0.0,49,15.734890561,8192,1
0.780756,0.0,0.0,49,0.001075185,16,1
2.245116,0.0,0.0,49,0.002556617,32,1
