task_clock,context_switches,cpu_migrations,page_faults,time_elapsed,iteration,threads
22545.8,144.0,4.0,77,22.4822,1,1
23134.13,103.0,1.0,80,11.57178,1,2
26664.55,583.0,1.0,84,6.6757,1,4
27486.79,2489.0,12.0,93,6.8826,1,8
27850.84,3777.0,25.0,109,6.97713,1,16
28042.71,7228.0,241.0,144,7.02173,1,32
22439.04,132.0,0.0,77,22.44234,2,1
23140.71,91.0,1.0,80,11.569673,2,2
26832.72,325.0,1.0,84,6.7162,2,4
27530.54,2495.0,12.0,92,6.89337,2,8
27879.12,4015.0,24.0,109,6.98209,2,16
28069.26,7175.0,104.0,144,7.02918,2,32
22448.14,108.0,1.0,77,22.4467,3,1
23136.08,98.0,2.0,79,11.567493,3,2
26855.66,333.0,1.0,83,6.7229,3,4
27569.13,2503.0,12.0,93,6.90213,3,8
27931.25,3783.0,25.0,110,6.99818,3,16
28115.19,7182.0,161.0,143,7.03967,3,32
22431.25,136.0,1.0,77,22.43399,4,1
23133.81,94.0,2.0,80,11.567901,4,2
26930.74,341.0,1.0,84,6.7427,4,4
27601.57,2504.0,13.0,92,6.91098,4,8
28030.38,3947.0,57.0,110,7.0193,4,16
28281.07,7219.0,217.0,144,7.08116,4,32
22460.36,114.0,1.0,78,22.4614,5,1
23147.63,102.0,1.0,80,11.57489,5,2
26934.24,337.0,1.0,84,6.7424,5,4
27803.04,2521.0,16.0,93,6.96133,5,8
28170.28,3838.0,26.0,109,7.05461,5,16
28369.06,7239.0,160.0,144,7.10399,5,32
22425.02,121.0,1.0,78,22.42651,6,1
23139.57,105.0,4.0,79,11.57103,6,2
26971.46,358.0,1.0,84,6.7529,6,4
27820.7,2806.0,14.0,92,6.9675,6,8
28218.08,3849.0,45.0,110,7.06602,6,16
28393.17,7237.0,209.0,144,7.10937,6,32
22447.07,99.0,4.0,78,22.44746,7,1
23146.52,98.0,3.0,79,11.57424,7,2
27015.6,334.0,1.0,84,6.7627,7,4
27896.14,2557.0,12.0,93,6.9846,7,8
28221.14,3808.0,29.0,109,7.06668,7,16
28420.88,7255.0,184.0,144,7.11687,7,32
22437.57,127.0,1.0,77,22.43975,8,1
23148.66,101.0,2.0,79,11.57439,8,2
27017.72,343.0,1.0,84,6.7651,8,4
27922.81,2619.0,16.0,92,6.99589,8,8
28253.82,3877.0,48.0,110,7.07444,8,16
28463.39,7271.0,151.0,144,7.12707,8,32
