task_clock,context_switches,cpu_migrations,page_faults,time_elapsed,iteration,threads
38732.71,0.0,0.0,219070,19.5227,1,2
31974.08,0.0,0.0,220228,10.8583,1,3
30101.44,0.0,0.0,221376,7.7377,1,4
29077.53,0.0,0.0,222536,6.0324,1,5
28782.57,0.0,0.0,223705,5.0257,1,6
38811.61,0.0,0.0,219072,19.5621,2,2
32003.34,0.0,0.0,220229,10.8716,2,3
30060.04,0.0,0.0,221377,7.7204,2,4
29013.3,0.0,0.0,222535,6.0134,2,5
28778.72,0.0,0.0,223701,5.0351,2,6
38776.4,0.0,0.0,219071,19.5428,3,2
31899.74,0.0,0.0,220226,10.8322,3,3
29973.98,0.0,0.0,221374,7.6955,3,4
28966.04,0.0,0.0,222536,6.0123,3,5
28719.63,0.0,0.0,223694,5.0153,3,6
38743.58,0.0,0.0,219074,19.5356,4,2
31984.34,0.0,0.0,220231,10.8605,4,3
29970.71,0.0,0.0,221382,7.7002,4,4
28892.67,0.0,0.0,222544,5.9711,4,5
28803.05,0.0,0.0,223701,5.0407,4,6
38748.35,0.0,0.0,219073,19.5330,5,2
31898.21,0.0,0.0,220227,10.8340,5,3
29996.18,0.0,0.0,221377,7.7134,5,4
29064.14,0.0,0.0,222538,6.0284,5,5
28691.79,0.0,0.0,223687,5.0030,5,6
38750.08,0.0,0.0,219077,19.5335,6,2
31951.53,0.0,0.0,220226,10.8635,6,3
30082.47,0.0,0.0,221380,7.7344,6,4
29065.95,0.0,0.0,222540,6.02635,6,5
28823.1,0.0,0.0,223704,5.0384,6,6
38765.78,0.0,0.0,219076,19.5559,7,2
31868.19,0.0,0.0,220228,10.8081,7,3
29998.19,0.0,0.0,221375,7.7164,7,4
29004.35,0.0,0.0,222541,6.0070,7,5
28718.89,0.0,0.0,223695,5.0147,7,6
38756.35,0.0,0.0,219073,19.5331,8,2
31882.99,0.0,0.0,220226,10.8397,8,3
30066.5,0.0,0.0,221377,7.7357,8,4
29316.98,0.0,0.0,222537,6.07,8,5
28698.75,0.0,0.0,223700,5.0131,8,6
