task_clock,context_switches,cpu_migrations,page_faults,time_elapsed,iteration,threads
22191.32,131.0,1.0,61,22.1928,1,1
22903.04,102.0,5.0,80,11.45259,1,2
27550.79,524.0,1.0,85,6.89695,1,4
27662.59,2627.0,15.0,94,6.9299,1,8
27708.94,3953.0,65.0,111,6.93689,1,16
27735.76,7262.0,141.0,144,6.94629,1,32
22193.34,117.0,0.0,60,22.19452,2,1
22908.41,102.0,3.0,80,11.4552,2,2
27579.28,524.0,1.0,86,6.90455,2,4
27726.07,2639.0,10.0,94,6.94135,2,8
27769.04,3863.0,27.0,110,6.95275,2,16
27823.04,7245.0,99.0,144,6.969,2,32
22181.03,127.0,1.0,60,22.18231,3,1
22904.91,95.0,4.0,80,11.45343,3,2
27619.08,536.0,2.0,86,6.91654,3,4
27786.42,2632.0,12.0,95,6.9563,3,8
27824.86,3876.0,31.0,110,6.966,3,16
27843.19,7206.0,150.0,145,6.97296,3,32
22184.2,124.0,3.0,60,22.18536,4,1
22944.66,162.0,5.0,80,11.4758,4,2
27651.19,578.0,1.0,85,6.92477,4,4
27818.52,2632.0,14.0,94,6.96468,4,8
27841.95,3898.0,46.0,110,6.97062,4,16
27875.44,7246.0,159.0,145,6.98376,4,32
22182.48,124.0,0.0,59,22.18413,5,1
22908.47,94.0,4.0,80,11.45548,5,2
27658.17,597.0,1.0,86,6.92445,5,4
27824.28,2646.0,11.0,94,6.966049,5,8
27859.97,3862.0,27.0,110,6.97487,5,16
27887.97,7258.0,137.0,145,6.98841,5,32
22200.64,100.0,1.0,60,22.20177,6,1
22909.89,95.0,4.0,80,11.45607,6,2
27651.89,510.0,1.0,86,6.92224,6,4
27815.03,2658.0,10.0,94,6.9634,6,8
27881.53,3909.0,39.0,111,6.98265,6,16
27890.15,7257.0,104.0,144,6.98249,6,32
22185.59,117.0,2.0,60,22.18643,7,1
22917.71,102.0,3.0,81,11.4599,7,2
27664.56,530.0,1.0,86,6.92552,7,4
27829.7,2634.0,10.0,93,6.966519,7,8
27879.09,3979.0,56.0,111,6.98306,7,16
27890.11,7223.0,118.0,145,6.98254,7,32
22191.93,128.0,0.0,60,22.19334,8,1
22916.98,100.0,3.0,80,11.45956,8,2
27660.51,522.0,1.0,86,6.92466,8,4
27838.26,2625.0,13.0,93,6.97279,8,8
27871.52,3975.0,60.0,112,6.97812,8,16
27898.3,7265.0,178.0,145,6.98421,8,32
